maxNonePCDays,minPCDays,lowPercentile,PCPercentile,EPCPercentile,PCLowBound,PCUpBound,Accuracy,F1,Precision,Recall,PercentileUsed,support_start,support_end,Confidence_start,Confidence_end,start_month,end_month,instance_number,location_number,classifier
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,147,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,147,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,163,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,163,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,175,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,175,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,187,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,187,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,197,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,197,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,205,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,205,333,0.45,1,5,9,540,3,J48
